Domain,Summary,Description,Path,Method,Client,Staff,Directory,Internal
apps,List of apps,"Retrieve a list of available apps. Response format varies by token type - Staff tokens receive detailed app data including full configuration, while Directory tokens receive simplified app data for apps associated with the directory.",/platform/v1/apps,GET,,,,
apps,Creates an app,Create a new app.,/platform/v1/apps,POST,,,,
apps,Read an app,Retrieve an app by code name.,/platform/v1/apps/{id},GET,,Y,Y,
apps,Updates an app,Update an app by code name.,/platform/v1/apps/{id},PUT,,,,
apps,[DEPRECATED] Assign an app,Assign an application to a business or directory so it appears in the App Market.,/platform/v1/apps/{id}/assign,POST,,,,
apps,Install an app [DEPRECATED],Install an app for the authorized business - **⚠️ DEPRECATED**: Use `POST /v3/apps/business_app_installs` instead.,/platform/v1/apps/{id}/install_app,POST,,,,
apps,Unassign an app on directory or a business [Internal],Unassign an application from a business or directory.,/platform/v1/apps/{id}/unassign,POST,,,,
apps,Uninstall an app [Deprecated],Uninstall an app for the authorized business. **⚠️ DEPRECATED**: Use `DELETE /v3/apps/business_app_installs/{uid}` instead.,/platform/v1/apps/{id}/uninstall_app,POST,,,,
apps,List all Apps,"Returns apps available to the caller. Apps can be available because they are installed, offered by the directory, or assigned as internal.",/v3/apps/apps,GET,,,,
apps,Get an App,Retrieve a single app by uid.,/v3/apps/apps/{uid},GET,,,,
apps,List Business App Installs,"Get a list of installed apps per business. Each item includes a uid; use it in the show and delete paths. Optional query filters: business_uid, app_code_name, page, per_page. **Available for Staff & Directory Tokens**",/v3/apps/business_app_installs,GET,,,,
apps,Create a Business App Install,Install an app for a business. **Available for Staff & Directory Tokens**,/v3/apps/business_app_installs,POST,,,,
apps,Get a Business App Install,Get a single business app install by uid. **Available for Staff & Directory Tokens**,/v3/apps/business_app_installs/{uid},GET,,,,
apps,Delete a Business App Install,Uninstall an app for a business. **Available for Staff & Directory Tokens**,/v3/apps/business_app_installs/{uid},DELETE,,,,
apps,List App Assignments,"Returns app assignments across multiple businesses within a directory, with optional filtering. Note: assignee_uid can only be used when assignee_type is also provided.",/v3/apps/app_assignments,GET,,,,
apps,Create an App Assignment,"Create a new app assignment to a business, package or directory.",/v3/apps/app_assignments,POST,,,,
apps,Delete an App Assignment,Delete an app assignment.,/v3/apps/app_assignments/{uid},DELETE,,,,
apps,Generate an app access token,Generate an app access token using OAuth client credentials flow. **No bearer token required** - authentication is via service_id and service_secret in the request body.,/oauth/service/token,POST,Y,Y,Y,
apps,Get all Widgets,Get all widgets for the authenticated app.,/v3/apps/widgets,GET,,,,
apps,Create a Widget,Create a new widget.,/v3/apps/widgets,POST,,,,
apps,Update Widget,Update an existing widget.,/v3/apps/widgets/{uid},PUT,,,,
apps,Get all Widgets Boards Of The Staff,Returns the widgets boards for staff member.,/v3/apps/staff_widgets_boards,GET,,,,
apps,Create a Staff Widgets Board,Creates a widgets board for staff member.,/v3/apps/staff_widgets_boards,POST,,,,
apps,Update a Staff Widgets Board,Update a staff widget board.,/v3/apps/staff_widgets_boards/{uid},PUT,,,,
apps,Get all Staff Widgets Boards Templates,Get all staff widget board templates. **Only.,/v3/apps/staff_widgets_boards_templates,GET,,,,
apps,Create a Staff Widgets Boards Template,Create a staff widget board template.,/v3/apps/staff_widgets_boards_templates,POST,,,,
apps,Update a Staff Widgets Boards Template,Update an existing staff widget board template.,/v3/apps/staff_widgets_boards_templates/{uid},PUT,,,,
apps,Delete a Staff Widgets Boards Template,Delete a staff widget board template. **Only.,/v3/apps/staff_widgets_boards_templates/{uid},DELETE,,,,
apps,Update app translations,"Updates the translations for an app. The translations must be provided as a CSV file with a specific format. The CSV should have columns for: Key, Context, Character Limit, en, es, fr, it, pt, de, pl, nl, en-GB, he, sl. The rows should contain: Name, Short description, App features, Long descript...",/platform/v1/apps/translations/{app_code_name},PUT,,,,
apps,Create a compact JWS token,Create a new compact JWS token that can be used to authenticate a staff member to an app in inTandem using a JWKS process. The token is signed by the app's private key and can be verified by inTandem's public key. Public JWKS token can be obtained at: https://api.vcita.biz/v3/apps/.well-known/jwk...,/v3/apps/compact_jws_tokens,POST,,Y,,
apps,Bulk create compact JWS tokens,"Create multiple compact JWS tokens for a list of app code names. The response will include the success, generated token (if successful), or error details for each app code name.",/v3/apps/compact_jws_tokens/bulk,POST,,,,
assets,Get Leave Details Form,Gets the leave details form of the business.,/client_api/v1/portals/{business_uid}/contact/get_form,GET,,,,
assets,Submits Leave Details Form,Submits Leave Details Form to the business.,/client_api/v1/portals/{business_uid}/contact/submit,POST,,,,
assets,Get Share Documents Form,Gets the share documents form of the business.,/client_api/v1/portals/{business_uid}/share_documents_form/get_form,GET,,,,
assets,Submits Share Documents Form,Submits Share Documents Form to the business.,/client_api/v1/portals/{business_uid}/share_documents_form/submit,POST,,,,
assets,Get Forms List,Get forms list.,/platform/v1/forms,GET,,,,
assets,Updates a Form,Update a Form.,/platform/v1/forms,PUT,,,,
assets,Get Documents For A Client,Gets a list of documents for a client.,/platform/v1/clients/{client_id}/documents,GET,,,,
assets,Search docuforms activities,Searches for docuforms (documents and forms) activities within the business. Results are scoped based on the requesting staff member's permissions.,/v2/search/search_docuforms,GET,,Y,,Y
clients,Search business data,"Searches across business data entities including clients, conversations, bookings, appointments, estimates, payments, and documents. The search is powered by an Elasticsearch-based Seeker service.",/v2/search,GET,,Y,,Y
clients,Get Clients,Retrieves a paginated list of clients for the business. Supports searching by various attributes and filtering by update timestamp.,/platform/v1/clients,GET,,,,
clients,Create a Client,"Creates a new client record for the business. If a client with the same email already exists, returns a 409 Conflict error.",/platform/v1/clients,POST,,,,
clients,Merge duplicate clients into a primary client.,Merge two or more duplicate clients into one primary client.,/platform/v1/clients/merges/merge_clients,PUT,,,,
clients,List of clients that can be used as primary for merge.,Returns a list of client UIDs that can be used as a primary client for the merge.,/platform/v1/clients/merges/possible_merge_master,GET,,,,
clients,Use Client Package Credit [Alpha],"Redeem a credit from the authenticated client's active package to pay for an appointment or service session. This marks the associated payment status as paid (price set to $0) and decrements one credit from the client's package. If multiple packages qualify, the **soonest-expiring package** is us...",/platform/v1/clients/payment/client_packages/update_usage,POST,,,,
clients,Validate Credit Availability [Alpha],"Check whether the authenticated client has an active package with available credits for the service associated with a given payment status. Use this to determine if the ""pay with package"" option should be shown to the client before calling the `update_usage` endpoint.",/platform/v1/clients/payment/client_packages/validate,GET,,,,
clients,Retrieves a Client by Id,Retrieves a Client.,/platform/v1/clients/{client_id},GET,,,,
clients,Updates a Client,Update a Client,/platform/v1/clients/{client_id},PUT,,Y,Y,
clients,Deletes a Client by Id,Deletes a Client,/platform/v1/clients/{client_id},DELETE,,Y,Y,
clients,Get Estimates Of Client,Gets a list of estimates for a client.,/platform/v1/clients/{client_id}/estimates,GET,,,,
clients,Get Invoices Of Client,Gets a list of invoices for a client.,/platform/v1/clients/{client_id}/invoices,GET,,,,
clients,Get Payments of Client,Gets a list of payments for a client.,/platform/v1/clients/{client_id}/payments,GET,,,,
clients,Get External Connected Payment Application,Get External Connected Payment Application.,/client/payments/v1/apps/primary_provider_connected_application,GET,,,,
clients,Create New Card On File,Create New Card On File.,/client/payments/v1/cards,POST,,,,
clients,Get most recent pending card added to client [Alpha],Get most recent pending card added to client [Alpha].,/client/payments/v1/cards/get_new_card,GET,,,,
clients,Create New Save Card Session,Create New Save Card Session. Creates a Stripe Checkout session for securely saving a card.,/client/payments/v1/cards/save_card_session,POST,,,,
clients,Create Cart,Creates a Cart.,/client/payments/v1/carts,POST,,,,
clients,Show Cart,Show specific cart data.,/client/payments/v1/carts/{cart_uid},GET,,,,
clients,List Client Packages,"Retrieve a paginated list of client packages (package subscriptions) for the authenticated client, scoped to a specific matter/conversation. Returns each package's validity dates, credit balances, and active status.",/client/payments/v1/client_packages,GET,,,,
clients,Show Deposits List,Show list of deposits.,/client/payments/v1/deposits,GET,,,,
clients,Show Deposit,Show specific deposit details.,/client/payments/v1/deposits/{deposit_uid},GET,,,,
clients,Show Invoices List,Show list of invoices.,/client/payments/v1/invoices,GET,,,,
clients,List Catalog Packages (Public) [Alpha],"Retrieve the list of available package catalog templates for a business, as seen from the client perspective. Returns packages that clients can browse and potentially purchase through the client portal.",/client/payments/v1/packages,GET,,,,
clients,Show Catalog Package (Public) [Alpha],"Retrieve detailed information for a single package catalog template, as seen from the client perspective. Returns the package's pricing, included services, expiration settings, and discount information.",/client/payments/v1/packages/{package_id},GET,,,,
clients,Get Payment Requests List,Show list of payment requests.,/client/payments/v1/payment_requests,GET,,,,
clients,Get Checkout Session,Get the checkout session of a given payment request.,/client/payments/v1/payment_requests/{payment_request_uid}/checkout,GET,Y,,,
clients,Show Payments List,Show list of payments.,/client/payments/v1/payments,GET,,,,
clients,Show Product Orders List,Show list of product orders.,/client/payments/v1/product_orders,GET,,,,
clients,Send a Client Message,Sends a message from the authenticated client to the business. The message direction is always `client_to_business` — it is set automatically by the server based on the client token.,/client/messaging/v1/messages,POST,Y,,,
clients,Import clients app,Import clients to an app. Creates client records based on the provided field mappings.,/business/clients/v1/apps/{app_code_name}/import,POST,,,,
clients,Gets Matters of a contact,Gets Matters of a client.,/business/clients/v1/contacts/{client_uid}/matters,GET,,,,
clients,Create a new Matter,Create a new Matter for a contact.,/business/clients/v1/contacts/{client_uid}/matters,POST,,,,
clients,Gets Matters by filter,"Gets Matters by filter. Searchable fields are: Email, First name, Last name, Matter name and Phone.",/business/clients/v1/matters,GET,,,,
clients,Gets the collaborators of a Matter,Gets the collaborators of a Matter.,/business/clients/v1/matters/{matter_uid}/collaborators,GET,,,,
clients,Adds a collaborator to a Matter,Adds a collaborator to a Matter,/business/clients/v1/matters/{matter_uid}/collaborators,POST,,Y,Y,
clients,Removes a collaborator from a Matter,Removes a collaborator from a Matter,/business/clients/v1/matters/{matter_uid}/collaborators/{staff_uid},DELETE,,Y,Y,
clients,Nest a matter under another contact person,Moves a matter from its current contact to a different destination contact (nesting). The source contact is automatically deleted if it has no remaining matters after the nesting operation.,/business/clients/v1/matters/{matter_uid}/nest,PUT,,Y,Y,
clients,Gets a list of notes,Gets a list of notes.,/business/clients/v1/matters/{matter_uid}/notes,GET,,,,
clients,Adds a note,Adds a note,/business/clients/v1/matters/{matter_uid}/notes,POST,,Y,Y,
clients,Get a note,Get a note.,/business/clients/v1/matters/{matter_uid}/notes/{note_uid},GET,,,,
clients,Update a note,Update a note,/business/clients/v1/matters/{matter_uid}/notes/{note_uid},PUT,,Y,Y,
clients,Remove a note,Remove a note,/business/clients/v1/matters/{matter_uid}/notes/{note_uid},DELETE,,Y,Y,
clients,Reassign staff to Matter,Reassign staff to Matter,/business/clients/v1/matters/{matter_uid}/reassign,PUT,,Y,Y,
clients,Bulk add tags to matters,"Bulk add tags to one or more matters. This is the endpoint used by the product (e.g. with Staff token). Send `new_api: true`, `matters.uids` (array of matter UIDs), and `tags` (array of tag strings).",/business/clients/v1/tags,PUT,,Y,Y,
clients,Bulk remove tags from matters,Bulk remove tags from one or more matters. Same contract as PUT: send `matters.uids` (array of matter UIDs) and `tags` (array of tag strings to remove). Optional query param `new_api: true` (Frontage sends it).,/business/clients/v1/tags,DELETE,,Y,Y,
clients,Gets a list of tags of a Matter,Gets a list of tags of a Matter.,/business/clients/v1/matters/{matter_uid}/tags,GET,,,,
clients,[Deprecated] Adds a tag to a Matter,"**Deprecated.** Use **PUT /v1/tags** instead (bulk add with body `new_api`, `matters.uids`, `tags`). This endpoint adds a single tag to one matter.",/business/clients/v1/matters/{matter_uid}/tags,POST,,Y,Y,
clients,Remove a tag from a Matter,"Remove a tag from a single Matter (one matter_uid in path, one tag in body). For bulk remove use DELETE /v1/tags.",/business/clients/v1/matters/{matter_uid}/tags,DELETE,,Y,Y,
clients,Gets a Matter,Gets a Matter.,/business/clients/v1/matters/{uid},GET,,,,
clients,Updates a Matter,Updates a Matter.,/business/clients/v1/matters/{uid},PUT,,,,
clients,Show business client settings,Get settings.,/business/clients/v1/settings,GET,,,,
clients,Update business client settings,Update settings,/business/clients/v1/settings,PUT,,Y,Y,
clients,Get all views,Retrieve all views for the authenticated business.,/business/search/v1/views,GET,,,,
clients,Create a new view,Create a new custom view - Create a new custom view -,/business/search/v1/views,POST,,Y,Y,
clients,Get a specific view,Retrieve a specific view by UID.,/business/search/v1/views/{uid},GET,,,,
clients,Update a view,Update an existing view -,/business/search/v1/views/{uid},PUT,,Y,Y,
clients,Delete a view,Delete a custom view - Delete a custom view -,/business/search/v1/views/{uid},DELETE,,Y,Y,
clients,Bulk update views,Update multiple views in bulk - Update multiple views in bulk -,/business/search/v1/views/bulk,POST,,Y,Y,
clients,Get available columns,Retrieve all available columns for creating views.,/business/search/v1/views_columns,GET,,,,
clients,Get available filters,Retrieve all available filters for creating views.,/business/search/v1/view_filters,GET,,,,
clients,Retrieve Client Settings,Get the client settings for a specific client.,/v3/clients/client_settings/{client_uid},GET,,,,
clients,Update Client Settings,Update the client settings for a specific client - Update the client settings for a specific client -,/v3/clients/client_settings/{client_uid},PUT,Y,Y,,
communication,Get Conversations,Gets a list of conversations.,/platform/v1/conversations,GET,,Y,Y,
communication,Get Conversations For A Client,Gets a list of conversations for a client.,/platform/v1/clients/{client_id}/conversations,GET,,,,
communication,Create a Message,Creates a Message.,/platform/v1/messages,POST,,Y,Y,
communication,Assign Dedicated Number,"Assign Dedicated Number For Account, This API requires the 'enable_dedicated_nexmo_number' feature flag to be enabled on your account/directory. For additional information please reach out to our support.",/platform/v1/numbers/dedicated_numbers/assign,POST,Y,Y,Y,
communication,Set Two Way Texting Status,Set Two Way Texting Status.,/platform/v1/numbers/dedicated_numbers/set_two_way_texting_status,PUT,,Y,Y,
communication,translation missing: en.messaging-api.twilio.index.post.titlee,translation missing: en.messaging-api.twilio.index.post.descriptionn,/platform/v1/numbers/twilio,POST,,Y,Y,
communication,Remove Twilio Number,Remove Twilio Number,/platform/v1/numbers/twilio/{sub_account_id},DELETE,,Y,Y,
communication,Get all VoiceCallSettings,Get all VoiceCallSettings.,/v3/communication/voice_call_settings,GET,,Y,,
communication,Create a VoiceCallSetting,Create a VoiceCallSetting,/v3/communication/voice_call_settings,POST,,Y,Y,
communication,Update VoiceCallSetting,Update VoiceCallSetting,/v3/communication/voice_call_settings/{uid},PUT,,Y,Y,
communication,Get all VoiceCalls,Get all VoiceCalls.,/v3/communication/voice_calls,GET,Y,Y,Y,
communication,Create a VoiceCall,Create a VoiceCall,/v3/communication/voice_calls,POST,,Y,Y,
communication,Retrieve a VoiceCall,Retrieve a VoiceCall.,/v3/communication/voice_calls/{uid},GET,Y,Y,Y,
communication,Update a VoiceCall,Update a VoiceCall,/v3/communication/voice_calls/{uid},PUT,,Y,Y,
communication,Update a VoiceCallRecording,Update a VoiceCallRecording,/v3/communication/voice_call_recordings/{uid},PUT,,Y,Y,
communication,Delete a VoiceCallRecording,Deletes a voice call recording and returns a voiceCall entity,/v3/communication/voice_call_recordings/{uid},DELETE,,Y,Y,
communication,Retrieve a VoiceCallQuota,Retrieve a VoiceCallQuota.,/v3/communication/voice_call_quotas,GET,,,,Y
communication,Get voice call stats,Returns aggregated voice call status counts for the requested period and status filter.,/v3/communication/voice_calls/reports/voice_call_stats,GET,Y,Y,Y,
communication,Get all NotificationTemplates,Get a list of NotificationTemplates.,/v3/communication/notification_templates,GET,,Y,,
communication,Create a NotificationTemplate,Create a new notification template. .**.,/v3/communication/notification_templates,POST,,,,
communication,Retrieve a NotificationTemplate,Retrieve a specific NotificationTemplate based on its unique identifier (UID).,/v3/communication/notification_templates/{uid},GET,,Y,Y,Y
communication,Update a NotificationTemplate,Update an existing notification template. .**.,/v3/communication/notification_templates/{uid},PUT,,,,
communication,Delete a NotificationTemplate,Delete a specific NotificationTemplate based on its unique identifier (UID). .**.,/v3/communication/notification_templates/{uid},DELETE,,,,
communication,Retrieve All AvailablePhoneNumbers,Retrieves a list of phone numbers.,/v3/communication/available_phone_numbers,GET,Y,Y,Y,
communication,Retrieve all BusinessPhoneNumbers,Retrieves a list of all business phone numbers associated with a business account.,/v3/communication/business_phone_numbers,GET,Y,Y,Y,
communication,Create a BusinessPhoneNumber,"Purchase a phone number from a telecom provider and assign it to a business account. For US and Canadian phone numbers with text messaging, verification_request_data is required to register your business with mobile carriers and ensure reliable message delivery.",/v3/communication/business_phone_numbers,POST,,Y,Y,
communication,Retrieve a BusinessPhoneNumber,Fetches detailed information about a single business phone number using its unique identifier.,/v3/communication/business_phone_numbers/{uid},GET,,Y,Y,
communication,Update a BusinessPhoneNumber,Update the verification request data for a business phone number.,/v3/communication/business_phone_numbers/{uid},PUT,,Y,,
communication,Get Conversation Messages,"Retrieves a paginated list of messages within a specific conversation. Messages are returned in chronological order and include staff details, document attachments, and delivery status.",/v2/conversations/{conversation_id}/messages,GET,,Y,Y,
communication,Create a Business Communication Channel,Create a new business' communication channel.,/business/communication/channels,POST,,Y,Y,
communication,Update a Business Communication Channel,Update an existing communication channel.,/business/communication/channels/{uid},PUT,,Y,Y,
communication,Delete a Business Communication Channel,Deletes an existing channel.,/business/communication/channels/{uid},DELETE,,Y,Y,
communication,Create a Business Communication Message,Send a message to a business.,/business/communication/messages,POST,,Y,Y,
communication,Update Business Communication Message,Update message status.,/business/communication/messages/{messageUid},PUT,,Y,Y,
communication,Retrieve a Business Communication Session,Retrieve sessions. Deep object style. Example: filter[channel_uid]=channeluuid.,/business/communication/sessions,GET,,Y,Y,
communication,Create a Business Communication Session,Create a new inactive session over a channel between the app's contact and vCita's contact.,/business/communication/sessions,POST,,Y,Y,
communication,Create a Business Communication Session Typing indicator,Populate typing indicator status.,/business/communication/sessions/typing,POST,,Y,Y,
communication,Update a Business Communication Session,Activating/deactivating an existing session.,/business/communication/sessions/{uid},PUT,,Y,Y,
communication,Delete a Business Communication Session,Deletes an existing session.,/business/communication/sessions/{uid},DELETE,,Y,Y,
communication,Create a StaffNotification,Create a new StaffNotification for a staff member. .**.,/v3/communication/staff_notifications,POST,,,,
communication,Retrieve a StaffNotification,Retrieve a StaffNotification by its unique identifier.,/v3/communication/staff_notifications/{uid},GET,,,Y,
communication,Create a mesaging channel,Connecting a business to a primitive messaging channel through known providers.,/business/messaging/v1/channels,POST,,Y,Y,
communication,Notify Typing Indicator,"Notify contacts about account typing indicator. The `source` field determines the processing flow - when set to `business`, it uses the external typing status flow.",/business/messaging/v1/channels/typing,POST,,Y,Y,
communication,Create an ActivityMessage,Create an ActivityMessage,/v3/communication/activity_messages,POST,,Y,Y,
integrations,Create a new ImportJob,Import products into a business account,/v3/integrations/import_jobs,POST,,Y,,
integrations,Retrieve an ImportJob,Retrieve an import job by its UID.,/v3/integrations/import_jobs/{uid},GET,Y,Y,Y,
integrations,Get all ImportJobItems,Get all import job items for a specific import job.,/v3/integrations/import_job_items,GET,Y,Y,Y,
integrations,Retrieve an ImportJobItem,Retrieve an import job item by its UID.,/v3/integrations/import_job_items/{uid},GET,Y,Y,Y,
integrations,List all IDP Actor Mappings,List all IDP Actor Mappings in the directory scope.,/v3/integrations/idp_actor_mappings,GET,,,,
integrations,Create an IDP Actor Mapping,Create a new IDP Actor Mapping for SSO integration,/v3/integrations/idp_actor_mappings,POST,,,Y,
integrations,Delete an IDP Actor Mapping,Delete an IDP Actor Mapping by UID.,/v3/integrations/idp_actor_mappings/{uid},DELETE,,,Y,
integrations,List all Directory IDP configurations,List all Directory IDP configurations with optional filtering.,/v3/integrations/directory_idps,GET,,,,
integrations,Create a Directory IDP configuration,Create a new Directory IDP configuration,/v3/integrations/directory_idps,POST,,,Y,
integrations,Update a Directory IDP configuration,Update an existing Directory IDP configuration by UID,/v3/integrations/directory_idps/{uid},PUT,,,Y,
platform_administration,Get a list of Directories,"Returns a filtered, paginated list of directories.",/v3/business_administration/directories,GET,,,,Y
platform_administration,Create a Directory,Creates a new directory with the provided configuration.,/v3/business_administration/directories,POST,,,,Y
platform_administration,Retrieve a Directory,Returns a specific directory based on its unique identifier.,/v3/business_administration/directories/{uid},GET,,,,Y
platform_administration,Update a Directory,Updates an existing directory. Only provided fields will be modified; omitted fields remain unchanged.,/v3/business_administration/directories/{uid},PUT,,,,Y
platform_administration,Search Businesses,Search for a business by external_reference_id or email.,/platform/v1/businesses,GET,,,Y,
platform_administration,Create a Business,"Creates a Business. By default, business creation is synchronous. To create a business asynchronously, set the 'synchronized' parameter to false in the 'meta' object. When set to false, the request returns immediately after input parameters validation and an async job is created to handle the bus...",/platform/v1/businesses,POST,,,Y,Y
platform_administration,Validate Login,Validates username/password credentials for login. The API will be blocked for the username after 5 failed attempts.,/platform/v1/businesses/validate_login,GET,,,Y,
platform_administration,Verify Audience Claim,This API performs entitlement verification for businesses seeking to register with a specific partner. It checks if a business exists in the partner's pre-loaded audience list and is eligible to be claimed.,/platform/v1/businesses/verify_audience_claim,POST,,,Y,
platform_administration,Get Business,"Retrieves detailed information about a specific business by its ID, including admin account details and business information.",/platform/v1/businesses/{business_uid},GET,,Y,Y,
platform_administration,Update Business,"Updates an existing business. This endpoint allows updating business information, admin account details, integrations, and subscription plan. Only provided fields will be updated.",/platform/v1/businesses/{business_uid},POST,,,Y,Y
platform_administration,Gets Directory's branding,"Get Directory's branding including logo url and colors, available for **Staff & Directory Tokens**.",/platform/v1/directory/branding,GET,,Y,Y,
platform_administration,Get Tokens List,"Get tokens list. Tokens can be filtered by app_id, user_id, or directory_id.",/platform/v1/tokens,GET,,Y,Y,
platform_administration,Creates a token,"Creates a token for authentication. Tokens can be created for applications (app_id), businesses (business_id), or directories (directory_id). At least one identifier must be provided.",/platform/v1/tokens,POST,,Y,Y,
platform_administration,Revoke Token,"Revoke a specific access token by providing the token value. The token must be accessible by the authenticated caller (e.g., a Directory token can only revoke tokens it issued).",/platform/v1/tokens/revoke,POST,,Y,Y,
platform_administration,Subscribe to Webhook,Subscribe to webhook notifications. Webhooks allow you to receive real-time notifications when specific events occur in the system. You must specify the event (a combined string of entity and event_type in the format 'entity/event_type') and the target_url where notifications will be sent.,/platform/v1/webhook/subscribe,POST,,Y,Y,
platform_administration,Unsubscribe from Webhook,Unsubscribe from webhook. Note: This endpoint uses legacy parameter names ('event' and 'target_url'). The 'target_url' must match exactly the URL used when subscribing. The 'event' parameter is optional and can be used to unsubscribe from a specific event type.,/platform/v1/webhook/unsubscribe,POST,,Y,Y,
platform_administration,Get Webhooks List,Get webhooks list.,/platform/v1/webhooks,GET,,Y,Y,
platform_administration,Get Business Features,Retrieves a list of features enabled for a specific business. Features represent capabilities and modules available to the business.,/platform/v1/businesses/{business_uid}/features,GET,,Y,Y,
platform_administration,Update Purchased Items,Updates purchased items for a business.,/platform/v1/businesses/{business_uid}/purchased_items,PUT,,Y,Y,
platform_administration,Get Recurly parameters,"Retrieves Recurly subscription data for a business, including account codes and subscription parameters used for billing integration.",/platform/v1/businesses/{business_uid}/recurly_data,GET,Y,Y,Y,
platform_administration,Get Staff Members,Get Staff List and Details (ordered by position field).,/platform/v1/businesses/{business_uid}/staffs,GET,,Y,Y,
platform_administration,Create Staff Member,Creates a Staff Member.,/platform/v1/businesses/{business_uid}/staffs,POST,,Y,Y,
platform_administration,Get Staff Member Details,Get Staff Details.,/platform/v1/businesses/{business_uid}/staffs/{staff_uid},GET,,Y,Y,
